Address,Zip Code,Area,Price Category,Current Price,List Price,Close Price,Baths Total,Bedrooms,Building SqFt,Lot Size,Year Built,CDOM,Subdivision
1619 Lynnview Drive,77055,77007/77055,Expensive,3700000,3874000,3700000,8.1,6,8138,13194,2021,76,Monarch Oaks
26 Crestwood Drive,77007,77007/77055,Expensive,3600000,4025000,3600000,4.3,3,7000,34883,2000,21,Crestwood
1311 Pine Chase Drive,77055,77007/77055,Expensive,3500000,3500000,3500000,7.2,6,6811,17283,2026,0,Hilshire Manor
322 Crestwood Drive,77007,77007/77055,Expensive,3350000,3899900,3350000,4.2,4,7105,9900,2004,606,Crestwood Add
6009 Feagan Street,77007,77007/77055,Expensive,3300000,3375000,3300000,5.1,4,6151,7150,2023,40,Glen Cove
8320 Cedarspur Drive,77055,77007/77055,Expensive,3250000,2950000,3250000,6.1,6,5597,10295,2026,5,Brighton Place
1228 Archley Drive,77055,77007/77055,Expensive,3213355,3100000,3213355,5.1,5,5633,21830,2014,3,Hilshire Village
1426 Huge Oaks Street,77055,77007/77055,Expensive,3150000,3095000,3150000,5.3,5,6609,15000,2026,69,Monarch Oaks
7603 Edgeway Drive,77055,77007/77055,Expensive,2920500,3000000,2920500,5.2,4,6683,20278,2011,22,BRYKERWOODS ESTATES
8802 Lanell Lane,77055,77007/77055,Expensive,2895000,2895000,2895000,5.2,5,5603,13330,2026,0,Cedarwood
8722 Lupton Lane,77055,77007/77055,Expensive,2890000,2899000,2890000,5.1,5,5403,11700,2025,83,Spring Valley
1614 Lynnview Drive,77055,77007/77055,Expensive,2860000,2875000,2860000,4.3,5,6028,13200,2026,22,Monarch Oaks
1328 Mickey Way,77055,77007/77055,Expensive,2850000,2850000,2850000,6.2,5,5497,9324,2026,140,Forest Retreat
1338 Mickey Way,77055,77007/77055,Expensive,2850000,2795000,2850000,6.1,6,5570,11025,2020,6,Forest Retreat
8818 Echo Valley Drive,77055,77007/77055,Expensive,2750000,2800000,2750000,5.1,5,5882,11989,2025,35,Echo Valley Estates
8837 Larston Street,77055,77007/77055,Expensive,2710000,2750000,2710000,5.3,5,5462,11250,2025,52,LT 9 Fries Pines
1310 Pine Chase Drive,77055,77007/77055,Expensive,2700000,2750000,2700000,5.1,5,5369,14749,2013,23,Hilshire Manor
701 Oxford Street,77007,77007/77055,Expensive,2650000,2600000,2650000,4.1,4,4000,13200,1920,2,Houston Heights
7807 Bryonwood Drive,77055,77007/77055,Expensive,2650000,2650000,2650000,5.1,5,5755,12600,2025,64,Brykerwoods Sec 02
8619 Cedarbrake Drive,77055,77007/77055,Expensive,2617500,2650000,2617500,6.1,5,5622,10226,2025,300,Spring Valley
8935 Pado Street,77055,77007/77055,Expensive,2600000,2675000,2600000,4.2,5,6003,12720,2025,183,Springwood
1117 Traweek Street,77055,77007/77055,Expensive,2600000,2500000,2600000,4.2,5,5220,15065,2006,4,Bonnie Oaks
7908 Westwood Drive,77055,77007/77055,Expensive,2595000,2700000,2595000,5.2,5,5591,16000,2025,147,Westwood Oaks
8830 Merlin Drive,77055,77007/77055,Expensive,2585250,2595000,2585250,5.1,4,5090,10354,2026,104,Cedarwood Sec 02
9213 Hilldale Street,77055,77007/77055,Expensive,2525000,2650000,2525000,7.1,6,5427,11060,2026,19,Valley West
8854 Cardwell Drive,77055,77007/77055,Expensive,2500000,2500000,2500000,6.2,6,5421,9600,2025,0,Canopy Court
210 Glenwood Drive,77007,77007/77055,Expensive,2480972,2650000,2480972,5.2,4,5397,12633,2006,201,GLEN COVE
626 E 8th Street,77007,77007/77055,Expensive,2470000,2500000,2470000,4.1,4,4770,10560,2005,2,ALLEGRO TERRACE
7615 Bryonwood Drive,77055,77007/77055,Expensive,2415000,2500000,2415000,5.1,4,5530,11340,2008,5,Brykerwood Estate
1116 Danbury Road,77055,77007/77055,Expensive,2392000,2500000,2392000,5.1,4,5549,13680,2008,13,Brykerwoods
25 Woodsborough Circle,77055,77007/77055,Expensive,2351000,2290000,2351000,4.1,4,5429,14684,1990,5,Woodsborough
